"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","","Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","","Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","","Attribute","","",""
"ADGROUP_ID","広告グループID","Ad group ID","adgroupID","LONG","","Attribute","","",""
"AD_ID","広告ID","Ad ID","adID","LONG","","Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign name","campaignName","STRING","","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad group name","adgroupName","STRING","","Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING","","Attribute","","",""
"ASSET_TEXT","アセット","Asset","assetText","STRING","","Attribute","","",""
"ASSET_TYPE","アセットタイプ","Asset type","assetType","ENUM","","Attribute","タイトル,説明文,その他","Title,Description,Other",""
"PINNED_FIELD","表示位置の固定","Position pinning","pinnedField","ENUM","","Attribute","1番目,2番目,3番目,固定しない","First,Second,Third,Don't pin",""
"PERFORMANCE","掲載評価","Performance rating","performance","ENUM","","Attribute","最良,良好,学習中,低,保留,未評価","Best,Good,Learning,Low,Pending,Unrated",""
"IMPS","インプレッション数","Impressions","impressions","LONG","","Metric","","",""
"DAY","日","Day","day","STRING","","Segment","","",""
"WEEK","週（月～日）","Week (Mon-Sun)","week","STRING","","Segment","","",""
"MONTH","毎月","Month","month","STRING","","Segment","","",""
"QUARTER","四半期","Quarter","quarter","STRING","","Segment","","",""
"YEAR","年","Year","year","STRING","","Segment","","",""
"DAY_OF_WEEK","曜日","Day of the week","dayOfWeek","ENUM","","Segment","月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,その他","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Other",""
"NETWORK","広告を表示する検索画面","Show ads on","network","ENUM","","Segment","ウェブサイト検索,その他の検索,その他","Search site,Other searches,Other",""
