"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","","Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","","Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","","Attribute","","",""
"ADGROUP_ID","広告グループID","Ad group ID","adgroupID","LONG","","Attribute","","",""
"AD_ID","広告ID","Ad ID","adID","LONG","","Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign name","campaignName","STRING","","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad group name","adgroupName","STRING","","Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING","","Attribute","","",""
"IMPS","インプレッション数","Impressions","impressions","LONG","","Metric","","",""
"DELIVERED_TITLE1","配信タイトル1","Delivered title 1","deliveredTitle1","STRING","","Attribute","","",""
"DELIVERED_TITLE2","配信タイトル2","Delivered title 2","deliveredTitle2","STRING","","Attribute","","",""
"DELIVERED_TITLE3","配信タイトル3","Delivered title 3","deliveredTitle3","STRING","","Attribute","","",""
"CONCATENATED_TITLE","説明文に連結したタイトル","Concatenated title","concatenatedTitle","STRING","","Attribute","","",""
"DELIVERED_DESCRIPTION1","配信説明文1","Delivered description 1","deliveredDescription1","STRING","","Attribute","","",""
"DELIVERED_DESCRIPTION2","配信説明文2","Delivered description 2","deliveredDescription2","STRING","","Attribute","","",""
"DELIVERED_AD_IMAGE1","配信画像1","Delivered image 1","deliveredAdImage1","STRING","","Attribute","","",""
"DELIVERED_AD_IMAGE2","配信画像2","Delivered image 2","deliveredAdImage2","STRING","","Attribute","","",""
"DELIVERED_AD_IMAGE3","配信画像3","Delivered image 3","deliveredAdImage3","STRING","","Attribute","","",""
"DELIVERED_SITELINK1","配信クイックリンク1","Delivered quick link 1","deliveredSiteLink1","STRING","","Attribute","","",""
"DELIVERED_SITELINK2","配信クイックリンク2","Delivered quick link 2","deliveredSiteLink2","STRING","","Attribute","","",""
"DELIVERED_SITELINK3","配信クイックリンク3","Delivered quick link 3","deliveredSiteLink3","STRING","","Attribute","","",""
"DELIVERED_SITELINK4","配信クイックリンク4","Delivered quick link 4","deliveredSiteLink4","STRING","","Attribute","","",""
"DELIVERED_SITELINK5","配信クイックリンク5","Delivered quick link 5","deliveredSiteLink5","STRING","","Attribute","","",""
"DELIVERED_SITELINK6","配信クイックリンク6","Delivered quick link 6","deliveredSiteLink6","STRING","","Attribute","","",""
"DELIVERED_SITELINK7","配信クイックリンク7","Delivered quick link 7","deliveredSiteLink7","STRING","","Attribute","","",""
"DELIVERED_SITELINK8","配信クイックリンク8","Delivered quick link 8","deliveredSiteLink8","STRING","","Attribute","","",""
"DELIVERED_CALLOUT1","配信テキスト補足1","Delivered callout 1","deliveredCallOut1","STRING","","Attribute","","",""
"DELIVERED_CALLOUT2","配信テキスト補足2","Delivered callout 2","deliveredCallOut2","STRING","","Attribute","","",""
"DELIVERED_CALLOUT3","配信テキスト補足3","Delivered callout 3","deliveredCallOut3","STRING","","Attribute","","",""
"DELIVERED_CALLOUT4","配信テキスト補足4","Delivered callout 4","deliveredCallOut4","STRING","","Attribute","","",""
"DELIVERED_CALLOUT5","配信テキスト補足5","Delivered callout 5","deliveredCallOut5","STRING","","Attribute","","",""
"DELIVERED_CALLOUT6","配信テキスト補足6","Delivered callout 6","deliveredCallOut6","STRING","","Attribute","","",""
"DELIVERED_CALLOUT7","配信テキスト補足7","Delivered callout 7","deliveredCallOut7","STRING","","Attribute","","",""
"DELIVERED_CALLOUT8","配信テキスト補足8","Delivered callout 8","deliveredCallOut8","STRING","","Attribute","","",""
"DELIVERED_CALLOUT9","配信テキスト補足9","Delivered callout 9","deliveredCallOut9","STRING","","Attribute","","",""
"DELIVERED_CALLOUT10","配信テキスト補足10","Delivered callout 10","deliveredCallOut10","STRING","","Attribute","","",""
"DELIVERED_STRUCTURED_SNIPPET1","配信カテゴリ補足1","Delivered category snippet 1","deliveredStructuredSnippet1","STRING","","Attribute","","",""
"DELIVERED_STRUCTURED_SNIPPET2","配信カテゴリ補足2","Delivered category snippet 2","deliveredStructuredSnippet2","STRING","","Attribute","","",""
"DELIVERED_CALL","配信電話番号","Delivered call","deliveredCall","STRING","","Attribute","","",""
"DELIVERED_FAVICON","配信ファビコン","Delivered favicon","deliveredFavicon","STRING","","Attribute","","",""
