"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","","Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","","Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","","Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign name","campaignName","STRING","","Attribute","","",""
"COST","コスト","Cost","cost","LONG","","Metric","","",""
"IMPS","インプレッション数","Impressions","impressions","LONG","","Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG","","Metric","","",""
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","","Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","","Metric","","",""
"BID_MULTIPLIER","入札価格調整率","Bid Adjustment","bidAdjustment","DOUBLE","","Attribute","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"TARGET_LOCATION_ID","地域ID","Target Location ID","targetLocationID","STRING","","Attribute","","",""
"TARGET_LOCATION_NAME","地域","Target Location Name","targetLocationName","STRING","","Attribute","","",""
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"CONV_RATE","コンバージョン率","Conv. rate","convRate","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"CONV_VALUE","コンバージョンの価値","Conv. value","convValue","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"COST_PER_CONV","コスト/コンバージョン数","Cost/conv.","costPerConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"VALUE_PER_CONV","コンバージョンの価値/コンバージョン数","Conv. value/conv.","valuePerConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"ALL_CONV","コンバージョン数（全て）","Conversions (all)","allConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"ALL_CONV_RATE","コンバージョン率（全て）","Conv. rate (all)","allConvRate","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"ALL_CONV_VALUE","コンバージョンの価値（全て）","Conv. value (all)","allConvValue","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"COST_PER_ALL_CONV","コスト/コンバージョン数（全て）","Cost/conv. (all)","costPerAllConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"VALUE_PER_ALL_CONV","コンバージョンの価値（全て）/コンバージョン数（全て）","Conv. value (all)/conv. (all)","valuePerAllConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"CROSS_DEVICE_CONVERSIONS","クロスデバイスコンバージョン数","Cross-device conv.","crossDeviceConversions","DOUBLE","","Metric","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"CAMPAIGN_TRACKING_ID","キャンペーントラッキングID","Campaign tracking ID","campaignTrackingID","LONG","","Attribute","","",""
"DAY","日","Day","day","STRING","","Segment","","",""
"QUARTER","四半期","Quarter","quarter","STRING","","Segment","","",""
"YEAR","年","Year","year","STRING","","Segment","","",""
"MONTH","毎月","Month","month","STRING","[MONTH_OF_YEAR]","Segment","","",""
"MONTH_OF_YEAR","月","Month of Year","monthofYear","ENUM","[ALL_CONV, ALL_CONV_RATE, ALL_CONV_VALUE, ALL_CONV_VALUE_PER_COST, CONVERSIONS, CONV_RATE, CONV_VALUE, CONV_VALUE_PER_COST, COST_PER_ALL_CONV, COST_PER_CONV, MONTH, VALUE_PER_ALL_CONV, VALUE_PER_CONV]","Segment","1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,その他","January,February,March,April,May,June,July,August,September,October,November,December,Other",""
"WEEK","週（月～日）","Week (Mon-Sun)","week","STRING","","Segment","","",""
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. value/cost","convValuePerCost","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"ALL_CONV_VALUE_PER_COST","コンバージョンの価値（全て）/コスト","Conv. value (all)/cost","allConvValuePerCost","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
