"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountId","STRING","","Attribute","","",""
"IMPS","インプレッション数","Impressions","imps","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICK_RATE","クリック率","CTR","clickRate","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"COST","コスト","Cost","cost","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","avgCpc","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"INVALID_CLICKS","無効なクリック数","Invalid clicks","invalidClicks","LONG","[CONVERSION_NAME, HOUR_OF_DAY, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"INVALID_CLICK_RATE","無効なクリック率","Invalid click rate","invalidClickRate","DOUBLE","[CONVERSION_NAME, HOUR_OF_DAY, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CONVERSIONS","コンバージョン数","Conversions","conversions","LONG","","Metric","","",""
"COST_PER_CONV","コスト/コンバージョン数","Cost/conv.","costPerConv","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CONV_RATE","コンバージョン率","Conv. rate","convRate","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CONV_VALUE","コンバージョンの価値","Conv. value","convValue","LONG","","Metric","","",""
"VALUE_PER_CONV","コンバージョンの価値/コンバージョン数","Conv. value/conv.","valuePerConv","DOUBLE","","Metric","","",""
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. value/cost","convValuePerCost","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"ALL_CONV","コンバージョン数（全て）","Conversions (all)","allConv","LONG","","Metric","","",""
"COST_PER_ALL_CONV","コスト/コンバージョン数（全て）","Cost/conv. (all)","costPerAllConv","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"ALL_CONV_RATE","コンバージョン率（全て）","Conv. rate (all)","allConvRate","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"ALL_CONV_VALUE","コンバージョンの価値（全て）","Conv. value (all)","allConvValue","LONG","","Metric","","",""
"VALUE_PER_ALL_CONV","コンバージョンの価値（全て）/コンバージョン数（全て）","Conv. value (all)/conv. (all)","valuePerAllConv","DOUBLE","","Metric","","",""
"ALL_CONV_VALUE_PER_COST","コンバージョンの価値（全て）/コスト","Conv. value (all)/cost","allConvValuePerCost","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CROSS_DEVICE_CONVERSIONS","クロスデバイスコンバージョン数","Cross-device conv.","crossDeviceConversions","LONG","[HOUR_OF_DAY]","Metric","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"IMPRESSION_SHARE","インプレッションシェア","Impression share","impressionShare","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"ABSOLUTE_TOP_IMPRESSION_PERCENTAGE","インプレッションにおけるページ最上部の割合","Search absolute top impression rate","absoluteTopImpressionPercentage","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"SEARCH_ABSOLUTE_TOP_IMPRESSION_SHARE","ページ最上部のインプレッションシェア","Search absolute top impression share","searchAbsoluteTopImpressionShare","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"RANK_LOST_IMPRESSION_SHARE_RATE","インプレッションシェア損失率（ランク）","Lost impression share (rank)","rankLostImpressionShareRate","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"BUDGET_LOST_IMPRESSION_SHARE_RATE","インプレッションシェア損失率（予算）","Lost impression share (budget)","budgetLostImpressionShareRate","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"TRACKING_URL","トラッキングURL","Tracking URL","trackingUrl","STRING","","Attribute","","",""
"CUSTOM_PARAMETERS","カスタムパラメータ","Custom parameter","customParameters","STRING","","Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignId","LONG","","Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign name","campaignName","STRING","","Attribute","","",""
"ORDERS","注文数","Orders","orders","LONG","","Metric","","",""
"AVERAGE_PRODUCTS_PER_ORDER","注文の平均商品数","Average products per order","averageProductsPerOrder","DOUBLE","","Metric","","",""
"TOTAL_ORDER_PRICE","合計注文金額","Total order price","totalOrderPrice","LONG","","Metric","","",""
"AVERAGE_ORDER_PRICE","平均注文金額","Average order price","averageOrderPrice","DOUBLE","","Metric","","",""
"DAY","日","Day","day","STRING","","Segment","","",""
"WEEK","週（月～日）","Week (Mon-Sun)","week","STRING","","Segment","","",""
"MONTH","月","Month","month","STRING","","Segment","","",""
"QUARTER","四半期","Quarter","quarter","STRING","","Segment","","",""
"YEAR","年","Year","year","LONG","","Segment","","",""
"DAY_OF_WEEK","曜日","Day of the week","dayOfWeek","ENUM","","Segment","月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,その他","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Other",""
"HOUR_OF_DAY","時間","Hour of day","hourOfDay","LONG","[CROSS_DEVICE_CONVERSIONS, INVALID_CLICKS, INVALID_CLICK_RATE]","Segment","","",""
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Conversion tracking purpose","objectOfConversionTracking","ENUM","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, ALL_CONV_RATE, ALL_CONV_VALUE_PER_COST, AVG_CPC, BUDGET_LOST_IMPRESSION_SHARE_RATE, BUDGET_SEARCH_ABSOLUTE_TOP_LOST_IMPRESSION_SHARE_RATE, CLICKS, CLICK_RATE, CONV_RATE, CONV_VALUE_PER_COST, COST, COST_PER_ALL_CONV, COST_PER_CONV, IMPRESSION_SHARE, IMPS, INVALID_CLICKS, INVALID_CLICK_RATE, RANK_LOST_IMPRESSION_SHARE_RATE, RANK_SEARCH_ABSOLUTE_TOP_LOST_IMPRESSION_SHARE_RATE, SEARCH_ABSOLUTE_TOP_IMPRESSION_SHARE]","Segment","購入/販売,見積もりのリクエスト,予約,お申し込み,架電,連絡先,カートに追加,決済の開始,定期購入,実店舗に来店,実店舗で購入,主要なページの閲覧,ルート・乗換案内,見込み客のフォーム送信,ダウンロード,タグの発火,離脱クリック,データのインポート,有望な見込み客,取引歴のある見込み客,ストアをお気に入りに登録,商品をお気に入りに登録,その他","Purchase / Sales,Request a quote,Reservation,Application,Phone call leads,Contact,Add to cart,Begin checkout,Subscription,Store visits,Store sales,Page Access,Route / transfer information,Form submission by prospect,Download,Engagements,Withdrawal click,Imported leads,Qualified leads,Converted leads,Add a store to favorites,Add a product to favorites,Other",""
"CONVERSION_NAME","コンバージョン名","Conversion name","conversionName","STRING","[ABSOLUTE_TOP_IMPRESSION_PERCENTAGE, ALL_CONV_RATE, ALL_CONV_VALUE_PER_COST, AVG_CPC, BUDGET_LOST_IMPRESSION_SHARE_RATE, BUDGET_SEARCH_ABSOLUTE_TOP_LOST_IMPRESSION_SHARE_RATE, CLICKS, CLICK_RATE, CONV_RATE, CONV_VALUE_PER_COST, COST, COST_PER_ALL_CONV, COST_PER_CONV, IMPRESSION_SHARE, IMPS, INVALID_CLICKS, INVALID_CLICK_RATE, RANK_LOST_IMPRESSION_SHARE_RATE, RANK_SEARCH_ABSOLUTE_TOP_LOST_IMPRESSION_SHARE_RATE, SEARCH_ABSOLUTE_TOP_IMPRESSION_SHARE]","Segment","","",""
"CAMPAIGN_TRACKING_ID","キャンペーントラッキングID","Campaign tracking ID","campaignTrackingId","LONG","","Attribute","","",""
"TOTAL_NUMBER_OF_PRODUCTS_FOR_ALL_ORDERS","注文内の合計商品数","Total number of products for all orders","totalNumberOfProductsForAllOrders","LONG","","Metric","","",""
"DEVICE","デバイス","Device","device","ENUM","","Segment","PC,スマートフォン,タブレット,不明,設定なし","PC,Smartphone,Tablet,unknown,UNSPECIFIED",""
