"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","","Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","","Attribute","","",""
"IMPS","インプレッション数","Impressions","impressions","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"COST","コスト","Cost","cost","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CONV_VALUE","コンバージョンの価値","Conv. value","convValue","DOUBLE","","Metric","","",""
"COST_PER_CONV","コスト/コンバージョン数","Cost/conv.","costPerConv","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"COST_PER_ALL_CONV","コスト/コンバージョン数（全て）","Cost/conv. (all)","costPerAllConv","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CONVERSION_NAME","コンバージョン名","Conversion name","conversionName","STRING","[ALL_CONV_RATE, AVG_CPC, CLICKS, CLICK_RATE, CONV_RATE, COST, COST_PER_ALL_CONV, COST_PER_CONV, IMPS]","Segment","","",""
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","","Metric","","",""
"OBJECT_OF_CONVERSION_TRACKING","コンバージョン測定の目的","Conversion Tracking Purpose","objectiveOfConversionTracking","ENUM","[ALL_CONV_RATE, AVG_CPC, CLICKS, CLICK_RATE, CONV_RATE, COST, COST_PER_ALL_CONV, COST_PER_CONV, IMPS]","Segment","購入/販売,見積もりのリクエスト,予約,お申し込み,架電,連絡先,カートに追加,決済の開始,定期購入,実店舗に来店,実店舗で購入,主要なページの閲覧,ルート・乗換案内,見込み客のフォーム送信,ダウンロード,タグの発火,離脱クリック,データのインポート,有望な見込み客,取引歴のある見込み客,その他","Purchase / Sales,Request a quote,Reservation,Application,Phone call leads,Contact,Add to cart,Begin checkout,Subscription,Store visits,Store sales,Page Access,Route / transfer information,Form submission by prospect,Download,Engagements,Withdrawal click,Imported leads,Qualified leads,Converted leads,Other",""
"CONV_RATE","コンバージョン率","Conv. rate","convRate","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CROSS_DEVICE_CONVERSIONS","クロスデバイスコンバージョン数","Cross-device conv.","crossDeviceConversions","DOUBLE","","Metric","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"VALUE_PER_ALL_CONV","コンバージョンの価値（全て）/コンバージョン数（全て）","Conv. value (all)/conv. (all)","valuePerAllConv","DOUBLE","","Metric","","",""
"VALUE_PER_CONV","コンバージョンの価値/コンバージョン数","Conv. value/conv.","valuePerConv","DOUBLE","","Metric","","",""
"ALL_CONV_VALUE","コンバージョンの価値（全て）","Conv. value (all)","allConvValue","DOUBLE","","Metric","","",""
"ALL_CONV","コンバージョン数（全て）","Conversions (all)","allConv","DOUBLE","","Metric","","",""
"ALL_CONV_RATE","コンバージョン率（全て）","Conv. rate (all)","allConvRate","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"DAY","日","Day","day","STRING","","Segment","","",""
"BUDGET_ID","共有予算ID","Shared budget ID","budgetID","LONG","","Attribute","","",""
"BUDGET_NAME","共有予算名","Shared budget name","budgetName","STRING","","Attribute","","",""
"AMOUNT_MICROS","1日の共有予算","Daily shared budget","amountMicros","LONG","","Attribute","","",""
"REFERENCE_CAMPAIGN_COUNT","共有中のキャンペーン数","Shared campaigns","referenceCampaignCount","LONG","","Attribute","","",""
"REFERENCE_CAMPAIGN_NAME","対象のキャンペーン","Target campaigns","referenceCampaignName","STRING","","Segment","","",""
