"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","","Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","","Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","","Attribute","","",""
"ADGROUP_ID","広告グループID","Ad group ID","adgroupID","LONG","","Attribute","","",""
"AD_ID","広告ID","Ad ID","adID","LONG","","Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign name","campaignName","STRING","","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad group name","adgroupName","STRING","","Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING","","Attribute","","",""
"DISPLAY_URL","表示URL","Display URL","displayURL","STRING","","Attribute","","",""
"DESTINATION_URL","リンク先URL","Destination URL","destinationURL","STRING","","Attribute","","",""
"AD_TYPE","広告タイプ","Ad Type","adType","ENUM","","Attribute","テキスト（15・33）,従来のURL形式の広告,ショートテキスト（12・12）,アプリ訴求広告,拡大テキスト広告,動的検索連動型広告,レスポンシブ検索広告,その他","Text Ad(15-33),Ad with previous URL format,Short Ad(12-12),App promotion ads,Extended text ads,Dynamic ads for search,Responsive ads for search,Other",""
"AD_DISTRIBUTION_SETTINGS","配信設定","Distribution Settings","adDistributionSettings","ENUM","","Attribute","オン,オフ,その他","ON,OFF,Other",""
"AD_EDITORIAL_STATUS","審査状況","Editorial Status","adEditorialStatus","ENUM","","Attribute","審査完了,編集内容審査中,審査中,掲載不可,掲載停止,その他","APPROVED,APPROVED_WITH_REVIEW,REVIEW,PRE_DISAPPROVED,POST_DISAPPROVED,Other",""
"COST","コスト","Cost","cost","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"IMPS","インプレッション数","Impressions","impressions","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"DESCRIPTION1","説明文1","Description 1","description1","STRING","","Attribute","","",""
"DESCRIPTION2","説明文2","Description 2","description2","STRING","","Attribute","","",""
"DEVICE_PREFERENCE","優先デバイス","Focus Device","focusDevice","ENUM","","Attribute","スマートフォン","SmartPhone",""
"TRACKING_URL","トラッキングURL","Tracking URL","trackingURL","STRING","","Attribute","","",""
"CUSTOM_PARAMETERS","カスタムパラメータ","Custom parameter","customParameters","STRING","","Attribute","","",""
"FINAL_URL","最終リンク先URL","Final URL","finalURL","STRING","","Attribute","","",""
"FINAL_URL_SMARTPHONE","スマートフォン向けURL","Smartphone final URL","finalURLSmartphone","STRING","","Attribute","","",""
"CAMPAIGN_TRACKING_ID","キャンペーントラッキングID","Campaign tracking ID","campaignTrackingID","LONG","","Attribute","","",""
"AD_TRACKING_ID","広告トラッキングID","Ad tracking ID","adTrackingID","LONG","","Attribute","","",""
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"CONV_RATE","コンバージョン率","Conv. rate","convRate","DOUBLE","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CONV_VALUE","コンバージョンの価値","Conv. value","convValue","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"COST_PER_CONV","コスト/コンバージョン数","Cost/conv.","costPerConv","DOUBLE","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"VALUE_PER_CONV","コンバージョンの価値/コンバージョン数","Conv. value/conv.","valuePerConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"ALL_CONV","コンバージョン数（全て）","Conversions (all)","allConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
