"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountId","STRING","","Attribute","","",""
"IMPS","インプレッション数","Impressions","imps","LONG","","Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG","","Metric","","",""
"CLICK_RATE","クリック率","CTR","clickRate","DOUBLE","","Metric","","",""
"COST","コスト","Cost","cost","LONG","","Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","avgCpc","DOUBLE","","Metric","","",""
"CONVERSIONS","コンバージョン数","Conversions","conversions","LONG","","Metric","","",""
"COST_PER_CONV","コスト/コンバージョン数","Cost/conv.","costPerConv","DOUBLE","","Metric","","",""
"CONV_RATE","コンバージョン率","Conv. rate","convRate","DOUBLE","","Metric","","",""
"CONV_VALUE","コンバージョンの価値","Conv. value","convValue","LONG","","Metric","","",""
"VALUE_PER_CONV","コンバージョンの価値/コンバージョン数","Conv. value/conv.","valuePerConv","DOUBLE","","Metric","","",""
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. value/cost","convValuePerCost","DOUBLE","","Metric","","",""
"ALL_CONV","コンバージョン数（全て）","Conversions (all)","allConv","LONG","","Metric","","",""
"COST_PER_ALL_CONV","コスト/コンバージョン数（全て）","Cost/conv. (all)","costPerAllConv","DOUBLE","","Metric","","",""
"ALL_CONV_RATE","コンバージョン率（全て）","Conv. rate (all)","allConvRate","DOUBLE","","Metric","","",""
"ALL_CONV_VALUE","コンバージョンの価値（全て）","Conv. value (all)","allConvValue","LONG","","Metric","","",""
"VALUE_PER_ALL_CONV","コンバージョンの価値（全て）/コンバージョン数（全て）","Conv. value (all)/conv. (all)","valuePerAllConv","DOUBLE","","Metric","","",""
"ALL_CONV_VALUE_PER_COST","コンバージョンの価値（全て）/コスト","Conv. value (all)/cost","allConvValuePerCost","DOUBLE","","Metric","","",""
"CROSS_DEVICE_CONVERSIONS","クロスデバイスコンバージョン数","Cross-device conv.","crossDeviceConversions","LONG","","Metric","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"CAMPAIGN_ID","キャンペーンID","Campaign ID","campaignId","LONG","","Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign name","campaignName","STRING","","Attribute","","",""
"ADGROUP_ID","広告グループID","Ad group ID","adgroupId","LONG","","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad group name","adgroupName","STRING","","Attribute","","",""
"AUDIENCE_LIST_ID","オーディエンスリストID","Audience list ID","audienceListId","LONG","","Attribute","","",""
"AUDIENCE_LIST_NAME","オーディエンスリスト名","Audience list name","audienceListName","STRING","","Attribute","","",""
"TARGET_AUDIENCE","配信対象ユーザー","Target audience","targetAudience","ENUM","","Attribute","","",""
"BID_ADJUSTMENT_RATE","入札価格調整率（％）","Bid adjustment rate (%)","bidAdjustmentRate","LONG","","Attribute","","",""
"ORDERS","注文数","Orders","orders","LONG","","Metric","","",""
"AVERAGE_PRODUCTS_PER_ORDER","注文の平均商品数","Average products per order","averageProductsPerOrder","DOUBLE","","Metric","","",""
"TOTAL_ORDER_PRICE","合計注文金額","Total order price","totalOrderPrice","LONG","","Metric","","",""
"AVERAGE_ORDER_PRICE","平均注文金額","Average order price","averageOrderPrice","DOUBLE","","Metric","","",""
"TOTAL_NUMBER_OF_PRODUCTS_FOR_ALL_ORDERS","注文内の合計商品数","Total number of products for all orders","totalNumberOfProductsForAllOrders","LONG","","Metric","","",""
"DAY","日","Day","day","STRING","","Segment","","",""
"WEEK","週（月～日）","Week (Mon-Sun)","week","STRING","","Segment","","",""
"MONTH","月","Month","month","STRING","","Segment","","",""
"QUARTER","四半期","Quarter","quarter","STRING","","Segment","","",""
"YEAR","年","Year","year","LONG","","Segment","","",""
"DAY_OF_WEEK","曜日","Day of the week","dayOfWeek","ENUM","","Segment","月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,その他","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Other",""
"DEVICE","デバイス","Device","device","ENUM","","Segment","PC,スマートフォン,タブレット,不明,設定なし","PC,Smartphone,Tablet,unknown,UNSPECIFIED",""
