"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","true",,"Attribute","","",
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","true",,"Attribute","","",
"COST","コスト","Cost","cost","LONG","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"IMPS","インプレッション数","Impressions","impressions","LONG","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"CLICKS","クリック数","Clicks","clicks","LONG","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"INVALID_CLICKS","無効なクリック","Invalid Clicks","invalidClicks","LONG","true","[CONVERSION_NAME, DEVICE, HOUR_OF_DAY, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"INVALID_CLICK_RATE","無効なクリック率","Invalid Click Rate","invalidClickRate","DOUBLE","true","[CONVERSION_NAME, DEVICE, HOUR_OF_DAY, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"IMPRESSION_SHARE","インプレッションシェア","Impression Share","impressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"EXACT_MATCH_IMPRESSION_SHARE","完全一致のインプレッションシェア","Exact Match Impression Share","exactMatchImpressionShare","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, HOUR_OF_DAY, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","","データ取得出来ない場合、値に[--]が設定されます/When the data cannot be retrieved, the value is set to [--]"
