"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","true",,"Attribute","","",
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","true",,"Attribute","","",
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","true",,"Attribute","","",
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","true",,"Attribute","","",
"AD_ID","広告ID","Ad ID","adID","LONG","true",,"Attribute","","",
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING","true",,"Attribute","","",
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","true",,"Attribute","","",
"AD_NAME","広告名","Ad Name","adName","STRING","true",,"Attribute","","",
"DISPLAY_URL","表示URL","Display URL","displayURL","STRING","true",,"Attribute","","",
"DESTINATION_URL","リンク先URL","Destination URL","destinationURL","STRING","true",,"Attribute","","",
"AD_TYPE","広告タイプ","Ad Type","adType","ENUM","true",,"Attribute","テキスト（15・33）,従来のURL形式の広告,ショートテキスト（12・12）,アプリダウンロード広告,拡大テキスト広告,動的検索連動型広告,レスポンシブ検索広告,その他","Text Ad(15-33),Ad with previous URL format,Short Ad(12-12),Mobile app download ads,Extended text ads,Dynamic ads for search,Responsive ads for search,Other",
"AD_DISTRIBUTION_SETTINGS","配信設定","Distribution Settings","adDistributionSettings","ENUM","true",,"Attribute","オン,オフ,その他","true,false,Other",
"AD_EDITORIAL_STATUS","審査状況","Editorial Status","adEditorialStatus","ENUM","true",,"Attribute","審査完了,編集内容審査中,審査中,掲載不可,掲載停止,その他","APPROVED,APPROVED_WITH_REVIEW,REVIEW,PRE_DISAPPROVED,POST_DISAPPROVED,Other",
"COST","コスト","Cost","cost","LONG","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"IMPS","インプレッション数","Impressions","impressions","LONG","true","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
