"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","","Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","","Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","","Attribute","","",""
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","","Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING","","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","","Attribute","","",""
"ADGROUP_DISTRIBUTION_SETTINGS","配信設定","Distribution Settings","adgroupDistributionSettings","ENUM","","Attribute","オン,オフ,その他","ON,OFF,Other",""
"ADGROUP_BID","広告グループの入札価格","Ad Group Bid","adGroupBid","LONG","","Attribute","","",""
"COST","コスト","Cost","cost","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"IMPS","インプレッション数","Impressions","impressions","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"IMPRESSION_SHARE","インプレッションシェア","Impression Share","impressionShare","DOUBLE","[CLICK_TYPE, CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"EXACT_MATCH_IMPRESSION_SHARE","完全一致のインプレッションシェア","Exact Match Impression Share","exactMatchImpressionShare","DOUBLE","[CLICK_TYPE, CONVERSION_NAME, HOUR_OF_DAY, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"QUALITY_LOST_IMPRESSION_SHARE","インプレッション損失率（掲載順位）","Quality Lost Impression Share","qualityLostImpressionShare","DOUBLE","[CLICK_TYPE, CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"TRACKING_URL","トラッキングURL","Tracking URL","trackingURL","STRING","","Attribute","","",""
"CUSTOM_PARAMETERS","カスタムパラメータ","Custom Parameters","customParameters","STRING","","Attribute","","",""
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"CONV_RATE","コンバージョン率","Conv. Rate","convRate","DOUBLE","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"COST_PER_CONV","コスト/コンバージョン数","Cost Per Conv.","costPerConv","DOUBLE","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"VALUE_PER_CONV","価値/コンバージョン数","Value Per Conv.","valuePerConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"ALL_CONV","すべてのコンバージョン数","All Conv.","allConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"ALL_CONV_RATE","すべてのコンバージョン率","All Conv. Rate","allConvRate","DOUBLE","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"ALL_CONV_VALUE","すべてのコンバージョンの価値","All Conv. Value","allConvValue","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"COST_PER_ALL_CONV","コスト/すべてのコンバージョン数","Cost Per All Conv.","costPerAllConv","DOUBLE","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"VALUE_PER_ALL_CONV","価値/すべてのコンバージョン数","Value Per All Conv.","valuePerAllConv","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
