"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","","Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","","Attribute","","",""
"COST","コスト","Cost","cost","LONG","","Metric","","",""
"IMPS","インプレッション数","Impressions","impressions","LONG","","Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG","","Metric","","",""
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","","Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","","Metric","","",""
"BID_STRATEGY_ID","自動入札ID","Auto Bidding ID","autoBiddingID","LONG","","Attribute","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"BID_STRATEGY_NAME","自動入札名","Auto Bidding Name","autoBiddingName","STRING","","Attribute","","",""
"BID_STRATEGY_TYPE","自動入札タイプ","Auto Bidding Type","autoBiddingType","ENUM","","Attribute","個別クリック単価,検索結果ページの目標掲載位置,クリック数の最大化,拡張クリック単価（旧「コンバージョン数の最大化」）,コンバージョン単価の目標値,広告費用対効果の目標値,コンバージョン数の最大化,ページ最上部掲載,コンバージョン価値の最大化,その他","Individual CPC,Target position in search results,Maximize Clicks,Enhanced CPC (Former: Maximize Conversions),Target CPA,Target ROAS,Maximize Conversions,Absolute top placement,Maximize conversion value,Other",""
"CAMPAIGN_COUNT","キャンペーン数","Campaigns","campaigns","LONG","","Metric","","",""
"TARGET_SEARCH_PAGE_LOCATION","掲載位置（検索結果ページの目標掲載位置）","Ad Position (Target position in search results)","adPositionOfTargetPositionInSearchResults","ENUM","","Attribute","1ページ目上部,1ページ目,その他","Top of First Page,First Page,Other",""
"BID_AUTOMATION","入札調整方法（検索結果ページの目標掲載位置）","Bidding Adjustment Method (Target position in search results)","biddingAdjustmentMethodOfTargetPositionInSearchResults","ENUM","","Attribute","手動で入札価格を設定,完全に自動化,その他","Manual Bidding,Full Auto,Other",""
"BID_MULTIPLIER_OF_TARGET_PAGE_LOCATION","入札価格調整（検索結果ページの目標掲載位置）","Bidding Adjustment (Target position in search results)","biddingAdjustmentOfTargetPositionInSearchResults","LONG","","Attribute","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"LIMITED_BUDGETS","キャンペーン予算による制限（検索結果ページの目標掲載位置）","Limit by Campaign Budget (Target position in search results)","limitByCampaignBudgetOfTargetPositionInSearchResults","ENUM","","Attribute","引き上げる,引き上げない,その他","Increase,Not increase,Other",""
"LOW_QUALITY_KEYWORDS","品質が低いキーワード（検索結果ページの目標掲載位置）","Low Quality Keyword (Target position in search results)","lowQualityKeywordOfTargetPositionInSearchResults","ENUM","","Attribute","引き上げる,引き上げない,その他","Increase,Not increase,Other",""
"UPPER_BID_LIMIT_OF_TARGET_PAGE_LOCATION","入札価格の上限（検索結果ページの目標掲載位置）","Bid Limit (Target position in search results)","bidLimitForTargetPositionInSearchResults","LONG","","Attribute","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"TARGET_CPA","コンバージョン単価の目標値","Target CPA","targetCpa","DOUBLE","","Attribute","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"UPPER_BID_LIMIT_OF_TARGET_CPA","入札価格の上限（コンバージョン単価の目標値）","Bid Limit (Target CPA)","bidLimitForTargetCpa","LONG","","Attribute","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"LOWER_BID_LIMIT_OF_TARGET_CPA","入札価格の下限（コンバージョン単価の目標値）","Lower Bid Limit (Target CPA)","lowerBidLimitForTargetCpa","LONG","","Attribute","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
"TARGET_ROAS","広告費用対効果の目標値","Target ROAS","targetRoas","DOUBLE","","Attribute","","","データ取得出来ない場合、値は空文字が設定されます/When the data cannot be retrieved, the value is set to a blank"
