"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"ACCOUNT_ID","アカウントID","Account ID","accountID","STRING","","Attribute","","",""
"ACCOUNT_NAME","アカウント名","Account Name","accountName","STRING","","Attribute","","",""
"CAMPAIGN_ID","キャンペーンID","CampaignID","campaignID","LONG","","Attribute","","",""
"ADGROUP_ID","広告グループID","Ad Group ID","adgroupID","LONG","","Attribute","","",""
"AD_ID","広告ID","Ad ID","adID","LONG","","Attribute","","",""
"CAMPAIGN_NAME","キャンペーン名","Campaign Name","campaignName","STRING","","Attribute","","",""
"ADGROUP_NAME","広告グループ名","Ad Group Name","adgroupName","STRING","","Attribute","","",""
"AD_NAME","広告名","Ad Name","adName","STRING","","Attribute","","",""
"COST","コスト","Cost","cost","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"IMPS","インプレッション数","Impressions","impressions","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICKS","クリック数","Clicks","clicks","LONG","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CLICK_RATE","クリック率","CTR","ctr","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"AVG_CPC","平均CPC","Avg. CPC","averageCpc","DOUBLE","[CONVERSION_NAME, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"EDITORIAL_STATUS","審査状況","Editorial Status","editorialStatus","ENUM","","Attribute","審査完了,編集内容審査中,審査中,掲載不可,掲載停止,その他","APPROVED,APPROVED_WITH_REVIEW,REVIEW,PRE_DISAPPROVED,POST_DISAPPROVED,Other",""
"PHONE_NUMBER","電話番号","Phone Number","phoneNumber","STRING","[DAY_OF_WEEK, VALUE_PER_ALL_CONV]","Attribute","","",""
"DEVICE_PREFERENCE","優先デバイス","Focus Device","focusDevice","ENUM","","Attribute","スマートフォン","SmartPhone",""
"FEED_ID","フィードID","Feed ID","feedID","LONG","","Attribute","","",""
"FEED_ITEM_ID","広告表示オプションID","Ad Display Option ID","adDisplayOptionID","LONG","","Attribute","","",""
"QUICK_LINK_TEXT","クイックリンクテキスト","QuickLink Text","quickLinkText","STRING","[DAY_OF_WEEK, VALUE_PER_ALL_CONV]","Attribute","","",""
"QUICK_LINK_URL","クイックリンクURL","QuickLink URL","quickLinkURL","STRING","[DAY_OF_WEEK, VALUE_PER_ALL_CONV]","Attribute","","",""
"PLACEHOLDER_TYPE","広告表示オプションの種類","Ad Display Option Type","adDisplayOptionType","ENUM","[DAY_OF_WEEK, VALUE_PER_ALL_CONV]","Attribute","アドカスタマイザー,電話番号オプション,テキスト補足オプション,クイックリンクオプション,カテゴリ補足オプション,その他","Data Auto Insertion,Call Extensions,Callout,QuickLinks,Category Text,Other",""
"FEED_ITEM_START_DATE","開始日","Start Date","adDisplayOptionStartDate","STRING","","Attribute","","",""
"FEED_ITEM_END_DATE","終了日","End Date","adDisplayOptionEndDate","STRING","","Attribute","","",""
"TRACKING_URL","トラッキングURL","Tracking URL","trackingURL","STRING","[DAY_OF_WEEK, VALUE_PER_ALL_CONV]","Attribute","","",""
"CUSTOM_PARAMETERS","カスタムパラメータ","Custom Parameters","customParameters","STRING","","Attribute","","",""
"FINAL_URL","最終リンク先URL","Final URL","finalURL","STRING","[DAY_OF_WEEK, VALUE_PER_ALL_CONV]","Attribute","","",""
"FINAL_URL_SMARTPHONE","スマートフォン向けURL","Smartphone final URL","finalURLSmartphone","STRING","[DAY_OF_WEEK, VALUE_PER_ALL_CONV]","Attribute","","",""
"CALLOUT","補足用テキスト","Callout","callout","STRING","[DAY_OF_WEEK, VALUE_PER_ALL_CONV]","Attribute","","",""
"CONVERSIONS","コンバージョン数","Conversions","conversions","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
"CONV_RATE","コンバージョン率","Conv. Rate","convRate","DOUBLE","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",""
"CONV_VALUE","コンバージョンの価値","Conv. Value","convValue","DOUBLE","[MONTH_OF_YEAR]","Metric","","",""
